"LAKE.ID","ROCK.DETAIL","ROCK"
"WIN","tonalite","sedimentary rocks"
"ADL","quartz monzonite, granite","intrusive rocks"
"AMK","nonmarine sedimentary rocks","sedimentary rocks"
"ANT","quartz monzonite, granite","intrusive rocks"
"BAP","undivided sedimentary rocks","sedimentary rocks"
"BCH","undivided gneiss","metamorphic rocks"
"BDE","undivided sedimentary rocks","sedimentary rocks"
"BDW","undivided sedimentary rocks","sedimentary rocks"
"BEA","undivided sedimentary rocks","sedimentary rocks"
"BNT","bimodal volcanic rocks","volcanic rocks"
"BOG","nonmarine sedimentary rocks","sedimentary rocks"
"BUC","undivided sedimentary rocks","sedimentary rocks"
"BVR","undivided sedimentary rocks","sedimentary rocks"
"CAA","undivided granitoid rocks","intrusive rocks"
"CHA","undivided sedimentary rocks","sedimentary rocks"
"CHU","undivided gneiss","metamorphic rocks"
"CRK","undivided sedimentary rocks","sedimentary rocks"
"CRM","undivided gneiss","metamorphic rocks"
"CRO","undivided gneiss","metamorphic rocks"
"DIF","undivided sedimentary rocks","sedimentary rocks"
"DIK","undivided gneiss","metamorphic rocks"
"DRA","undivided sedimentary rocks","sedimentary rocks"
"ECH","undivided sedimentary rocks","sedimentary rocks"
"ELP","undivided granitoid rocks","intrusive rocks"
"ELT","undivided granitoid rocks","intrusive rocks"
"ERI","undivided sedimentary rocks","sedimentary rocks"
"FEI","undivided sedimentary rocks","sedimentary rocks"
"FRC","undivided gneiss","metamorphic rocks"
"FWR","quartz monzonite, granite","intrusive rocks"
"HAR","undivided gneiss","metamorphic rocks"
"HFM","nonmarine sedimentary rocks","sedimentary rocks"
"HUC","#N/A","sedimentary rocks"
"HUS","#N/A","sedimentary rocks"
"ISL","undivided sedimentary rocks","sedimentary rocks"
"JAC","undivided volcanic rocks","volcanic rocks"
"JEN","undivided sedimentary rocks","sedimentary rocks"
"JKL","quartz monzonite, granite","intrusive rocks"
"JOD","undivided sedimentary rocks","sedimentary rocks"
"KEJ","undivided sedimentary rocks","sedimentary rocks"
"KIL","nonmarine sedimentary rocks","sedimentary rocks"
"LAB","undivided sedimentary rocks","sedimentary rocks"
"LAN","mafic volcanic rocks","volcanic rocks"
"LAY","nonmarine sedimentary rocks","sedimentary rocks"
"LLN","nonmarine sedimentary rocks","sedimentary rocks"
"LOF","undivided sedimentary rocks","sedimentary rocks"
"LON","nonmarine sedimentary rocks","sedimentary rocks"
"LOW","mafic volcanic rocks","volcanic rocks"
"LSP","undivided sedimentary rocks","sedimentary rocks"
"MAJ","nonmarine sedimentary rocks","sedimentary rocks"
"MAR","undivided sedimentary rocks","sedimentary rocks"
"MCL","undivided sedimentary rocks","sedimentary rocks"
"MDA","undivided sedimentary rocks","sedimentary rocks"
"MDB","undivided sedimentary rocks","sedimentary rocks"
"MDC","undivided sedimentary rocks","sedimentary rocks"
"MDD","undivided sedimentary rocks","sedimentary rocks"
"MDE","undivided sedimentary rocks","sedimentary rocks"
"MDF","undivided sedimentary rocks","sedimentary rocks"
"MDG","undivided sedimentary rocks","sedimentary rocks"
"MDH","undivided sedimentary rocks","sedimentary rocks"
"MDI","undivided sedimentary rocks","sedimentary rocks"
"MDJ","undivided sedimentary rocks","sedimentary rocks"
"MDK","undivided sedimentary rocks","sedimentary rocks"
"MDM","undivided sedimentary rocks","sedimentary rocks"
"MDP","undivided sedimentary rocks","sedimentary rocks"
"MEM","undivided sedimentary rocks","sedimentary rocks"
"MIC","#N/A","sedimentary rocks"
"MNI","undivided sedimentary rocks","sedimentary rocks"
"MSN","undivided sedimentary rocks","sedimentary rocks"
"MUD","quartz monzonite, granite","intrusive rocks"
"MUS","undivided gneiss","metamorphic rocks"
"NAI","undivided gneiss","metamorphic rocks"
"NAK","nonmarine sedimentary rocks","sedimentary rocks"
"NAR","nonmarine sedimentary rocks","sedimentary rocks"
"NET","quartz monzonite, granite","intrusive rocks"
"NHF","nonmarine sedimentary rocks","sedimentary rocks"
"NLM","undivided sedimentary rocks","sedimentary rocks"
"ONC","undivided sedimentary rocks","sedimentary rocks"
"ONH","undivided sedimentary rocks","sedimentary rocks"
"ONQ","undivided sedimentary rocks","sedimentary rocks"
"PAS","undivided sedimentary rocks","sedimentary rocks"
"PEB","undivided granitoid rocks","intrusive rocks"
"PIT","undivided gneiss","metamorphic rocks"
"PLA","orthogneiss","metamorphic rocks"
"PRQ","nonmarine sedimentary rocks","sedimentary rocks"
"RCE","orthogneiss","metamorphic rocks"
"SAN","undivided sedimentary rocks","sedimentary rocks"
"SIM","undivided sedimentary rocks","sedimentary rocks"
"STG","undivided sedimentary rocks","sedimentary rocks"
"SUP","#N/A","sedimentary rocks"
"TBR","undivided volcanic rocks","volcanic rocks"
"TIE","quartz monzonite, granite","intrusive rocks"
"TIW","quartz monzonite, granite","intrusive rocks"
"TOU","undivided sedimentary rocks","sedimentary rocks"
"TUC","undivided sedimentary rocks","sedimentary rocks"
"WAB","nonmarine sedimentary rocks","sedimentary rocks"
"WOL","undivided sedimentary and volcanic rocks","sedimentary and volcanic rocks"
