"F.ID","LAKE.ID","SITE.ID","METHOD","FCLASS","START.SEASON","END.SEASON","START.DATE","DURATION","TEMPERATURE","pH","O2.CAT","LIGHT.CAT","REPS","SRP.VALUE","SRP.UNITS","TDP.VALUE","TDP.UNITS","TP.VALUE","TP.UNITS","REF.ID","COMMENT","FLAG","FLAG.COMMENT"
"F0001","ELP","ELDM","CORE INCUBATION","Lgross","FALL","","09/08/11 00:00:00",6,20.67,6.21,"OXIC","DARK",4,0.03,"mg/m2/d",0.15,"mg/m2/d",0.51,"mg/m2/d","0000_Orihel","",1,""
"F0002","ELP","ELDM","CORE INCUBATION","Lgross","FALL","","09/08/11 00:00:00",6,20.67,6.21,"ANOXIC","DARK",4,0.01,"mg/m2/d",0.04,"mg/m2/d",0.89,"mg/m2/d","0000_Orihel","",1,""
"F0003","ELP","ELPE","CORE INCUBATION","Lgross","FALL","","09/07/11 00:00:00",6,20.7,6.38,"OXIC","DARK",4,0.24,"mg/m2/d",0.63,"mg/m2/d",0.51,"mg/m2/d","0000_Orihel","",1,""
"F0004","ELP","ELPE","CORE INCUBATION","Lgross","FALL","","09/07/11 00:00:00",6,20.02,6.19,"ANOXIC","DARK",4,0.03,"mg/m2/d",0.15,"mg/m2/d",0.74,"mg/m2/d","0000_Orihel","",1,""
"F0005","ELP","ELPH","CORE INCUBATION","Lgross","FALL","","09/07/11 00:00:00",6,7.43,6.7,"ANOXIC","DARK",2,0,"mg/m2/d",-0.07,"mg/m2/d",0.29,"mg/m2/d","0000_Orihel","",1,""
"F0006","KIL","KIDI","CORE INCUBATION","Lgross","SUMMER","","08/19/11 00:00:00",6,22.14,8.24,"OXIC","DARK",4,4.21,"mg/m2/d",4.52,"mg/m2/d",3.78,"mg/m2/d","0000_Orihel","",0,""
"F0007","KIL","KIDI","CORE INCUBATION","Lgross","SUMMER","","08/19/11 00:00:00",6,23.03,7.71,"ANOXIC","DARK",4,12.32,"mg/m2/d",12.4,"mg/m2/d",13.39,"mg/m2/d","0000_Orihel","",0,""
"F0008","KIL","KIDS","CORE INCUBATION","Lgross","SUMMER","","08/19/11 00:00:00",6,21.98,8.38,"OXIC","DARK",4,3.14,"mg/m2/d",2.51,"mg/m2/d",2.28,"mg/m2/d","0000_Orihel","",0,""
"F0009","KIL","KIDS","CORE INCUBATION","Lgross","SUMMER","","08/19/11 00:00:00",6,23.03,7.69,"ANOXIC","DARK",4,15.95,"mg/m2/d",17.71,"mg/m2/d",28.49,"mg/m2/d","0000_Orihel","",0,""
"F0010","KIL","KILC","CORE INCUBATION","Lgross","SUMMER","","08/19/11 00:00:00",6,22.13,8.39,"OXIC","DARK",4,2.59,"mg/m2/d",2.59,"mg/m2/d",2.68,"mg/m2/d","0000_Orihel","",0,""
"F0011","KIL","KILC","CORE INCUBATION","Lgross","SUMMER","","08/19/11 00:00:00",6,22.96,7.89,"ANOXIC","DARK",4,47.54,"mg/m2/d",45.9,"mg/m2/d",54.25,"mg/m2/d","0000_Orihel","",0,""
"F0012","ECH","ECHW","MASS BALANCE","Lnet","WINTER","","",NA,NA,NA,"INSITU(ANOXIC)","INSITU",NA,12,"mg/m2/d",NA,"",NA,"","1978_Allan","1977 or 1978; flux estimated from increase in under-ice SRP",0,""
"F0013","MSN","MSNW","MASS BALANCE","Lnet","WINTER","","",NA,NA,NA,"INSITU(ANOXIC)","INSITU",NA,10,"mg/m2/d",NA,"",NA,"","1978_Allan","1977 or 1978; flux estimated from increase in under-ice SRP",0,""
"F0014","PAS","PASW","MASS BALANCE","Lnet","WINTER","","",NA,NA,NA,"INSITU(ANOXIC)","INSITU",NA,4,"mg/m2/d",NA,"",NA,"","1978_Allan","1977 or 1978; flux estimated from increase in under-ice SRP",0,""
"F0015","WAB","WABW","MASS BALANCE","Lnet","SUMMER","","09/15/80 00:00:00",NA,NA,NA,"INSITU(OXIC)","INSITU",NA,NA,"",NA,"",1.4,"mg/m2/d","1984_Mitchell","mass balance based on water samples, depositions, and sediment cores",0,""
"F0016","WAB","WABW","MASS BALANCE","Lnet","SUMMER","","06/15/81 00:00:00",NA,NA,NA,"INSITU(OXIC)","INSITU",NA,NA,"",NA,"",5,"mg/m2/d","1984_Mitchell","mass balance based on water samples, depositions, and sediment cores",0,""
"F0017","WAB","WABW","MASS BALANCE","Lnet","SUMMER","","09/15/81 00:00:00",NA,NA,NA,"INSITU(OXIC)","INSITU",NA,NA,"",NA,"",2.4,"mg/m2/d","1984_Mitchell","mass balance based on water samples, depositions, and sediment cores",0,""
"F0018","HFM","HFMX","MASS BALANCE","Lnet","SUMMER","","05/27/82 00:00:00",29,10,NA,"INSITU(ANOXIC)","INSITU",NA,NA,"",NA,"",13.2,"mg/m2/d","1984_Riley","mass balance calculation description on p848",0,""
"F0019","HFM","HFMX","MASS BALANCE","Lnet","SUMMER","","06/11/82 00:00:00",58,11,NA,"INSITU(ANOXIC)","INSITU",NA,NA,"",NA,"",17.3,"mg/m2/d","1984_Riley","mass balance calculation description on p848",0,""
"F0020","NAK","NAKR","CORE INCUBATION","Lgross","SPRING","","03/01/83 00:00:00",21,3,NA,"ANOXIC","DARK",4,NA,"",NA,"",3.6,"mg/m2/d","1984_Riley","values for sediment cores incubated aerobic and anaerobic are not given separately",0,""
"F0021","NAK","NAKR","CORE INCUBATION","Lgross","SPRING","","04/01/83 00:00:00",14,10,NA,"ANOXIC","DARK",3,NA,"",NA,"",6.9,"mg/m2/d","1984_Riley","oxygenated on day 12",0,""
"F0022","NAK","NAKR","CORE INCUBATION","Lgross","SPRING","","03/01/83 00:00:00",14,25,NA,"ANOXIC","DARK",3,NA,"",NA,"",14.6,"mg/m2/d","1984_Riley","oxygenated on day 12",0,""
"F0023","NAK","NAKW","MASS BALANCE","Lnet","SUMMER","","05/25/82 00:00:00",34,14,NA,"INSITU(ANOXIC)","INSITU",NA,NA,"",8.1,"mg/m2/d",10.5,"mg/m2/d","1984_Riley","mass balance calculation description on p848",0,""
"F0024","NAK","NAKW","MASS BALANCE","Lnet","SUMMER","","07/05/82 00:00:00",10,17,NA,"INSITU(ANOXIC)","INSITU",NA,NA,"",12.5,"mg/m2/d",19.6,"mg/m2/d","1984_Riley","mass balance calculation description on p848",0,""
"F0025","NAK","NAKW","MASS BALANCE","Lnet","SUMMER","","07/22/82 00:00:00",7,17,NA,"INSITU(ANOXIC)","INSITU",NA,NA,"",28,"mg/m2/d",12.3,"mg/m2/d","1984_Riley","mass balance calculation description on p848",0,""
"F0026","NAK","NAKW","MASS BALANCE","Lnet","SUMMER","","08/03/82 00:00:00",6,19,NA,"INSITU(ANOXIC)","INSITU",NA,NA,"",8.9,"mg/m2/d",14.7,"mg/m2/d","1984_Riley","mass balance calculation description on p848",0,""
"F0027","NAK","NAKW","MASS BALANCE","Lnet","SUMMER","","08/16/82 00:00:00",7,17,NA,"INSITU(ANOXIC)","INSITU",NA,NA,"",16,"mg/m2/d",12.2,"mg/m2/d","1984_Riley","mass balance calculation description on p848",0,""
"F0028","CHU","CHDE","CORE INCUBATION","Lgross","FALL","","09/17/84 00:00:00",23,11,5.9,"ANOXIC","DARK",6,NA,"",NA,"",1.53,"mg/m2/d","1986_Nurnberg","or 38 days; core dimensions: 0.2m high, 6cm diameter; Fe flux measured",0,""
"F0029","CHU","CHUB","OTHER MODEL","","SUMMER","SPRING","06/01/76 00:00:00",NA,NA,NA,"INSITU(ANOXIC)","INSITU",9,NA,"",NA,"",2.63,"mg/m2/d","1986_Nurnberg","budget of P in hypolimnion during summer stratification; p576: hypolimnion profiles below 10 or 12m, summers of 1976-1984; calculated from deviations of hypolimnetic concentration (at end of stratification in fall) from the background concentration (measu",0,""
