"F.ID","LAKE.ID","SITE.ID","METHOD","FCLASS","START.SEASON","END.SEASON","START.DATE","DURATION","TEMPERATURE","pH","O2.CAT","LIGHT.CAT","REPS","REF.ID.x","COMMENT.x","FLAG","FLAG.COMMENT","TP.FLUX.mg_m2_d.source","TP.FLUX.mg_m2_d.value","LAKE.NAME","PROVINCE","LAT","LONG","ELEVATION","LAKE.AREA","LAKE.MAXDEPTH","WATERBODY.TYPE","TROPHIC.STATE","RES.TIME","LAKEPH.CAT","REF.ID.1","REF.ID.2","REF.ID.3","REF.ID.4","REF.ID.5","REF.ID.6","COMMENT.y","ROCK.DETAIL","ROCK","SITE.DEPTH","LOI","SITE.SED.P","SITE.SED.Fe","SITE.DESC","REF.ID.y","COMMENT"
"F0006","KIL","KIDI","CORE INCUBATION","Lgross","SUMMER","","08/19/11 00:00:00",6,22.14,8.24,"OXIC","DARK",4,"0000_Orihel","",0,"","TP.VALUE_mg_m2_d",3.78,"Killarney Lake","MB",49.178664,-99.680636,495,1.64,6,"Natural Lake","Hypereutrophic",NA,"Moderately Alkaline","0000_Orihel","1997_Richmond","","","","","","nonmarine sedimentary rocks","sedimentary rocks",2,NA,1.2351605812775,25.0005586387702,"station I-extra","0000_Orihel",""
"F0007","KIL","KIDI","CORE INCUBATION","Lgross","SUMMER","","08/19/11 00:00:00",6,23.03,7.71,"ANOXIC","DARK",4,"0000_Orihel","",0,"","TP.VALUE_mg_m2_d",13.39,"Killarney Lake","MB",49.178664,-99.680636,495,1.64,6,"Natural Lake","Hypereutrophic",NA,"Moderately Alkaline","0000_Orihel","1997_Richmond","","","","","","nonmarine sedimentary rocks","sedimentary rocks",2,NA,1.2351605812775,25.0005586387702,"station I-extra","0000_Orihel",""
"F0008","KIL","KIDS","CORE INCUBATION","Lgross","SUMMER","","08/19/11 00:00:00",6,21.98,8.38,"OXIC","DARK",4,"0000_Orihel","",0,"","TP.VALUE_mg_m2_d",2.28,"Killarney Lake","MB",49.178664,-99.680636,495,1.64,6,"Natural Lake","Hypereutrophic",NA,"Moderately Alkaline","0000_Orihel","1997_Richmond","","","","","","nonmarine sedimentary rocks","sedimentary rocks",2,NA,1.17434341061302,29.71329478618,"station S-extra","0000_Orihel",""
"F0009","KIL","KIDS","CORE INCUBATION","Lgross","SUMMER","","08/19/11 00:00:00",6,23.03,7.69,"ANOXIC","DARK",4,"0000_Orihel","",0,"","TP.VALUE_mg_m2_d",28.49,"Killarney Lake","MB",49.178664,-99.680636,495,1.64,6,"Natural Lake","Hypereutrophic",NA,"Moderately Alkaline","0000_Orihel","1997_Richmond","","","","","","nonmarine sedimentary rocks","sedimentary rocks",2,NA,1.17434341061302,29.71329478618,"station S-extra","0000_Orihel",""
"F0010","KIL","KILC","CORE INCUBATION","Lgross","SUMMER","","08/19/11 00:00:00",6,22.13,8.39,"OXIC","DARK",4,"0000_Orihel","",0,"","TP.VALUE_mg_m2_d",2.68,"Killarney Lake","MB",49.178664,-99.680636,495,1.64,6,"Natural Lake","Hypereutrophic",NA,"Moderately Alkaline","0000_Orihel","1997_Richmond","","","","","","nonmarine sedimentary rocks","sedimentary rocks",6,NA,1.46977506743442,28.2156712872012,"Central station (Site ""C""); station C-extra","0000_Orihel","Orihel/O'Connell; SITE_SOL_P and SITE_SOL_Fe sampled 19-Aug-11, two years before porewater data collected"
"F0011","KIL","KILC","CORE INCUBATION","Lgross","SUMMER","","08/19/11 00:00:00",6,22.96,7.89,"ANOXIC","DARK",4,"0000_Orihel","",0,"","TP.VALUE_mg_m2_d",54.25,"Killarney Lake","MB",49.178664,-99.680636,495,1.64,6,"Natural Lake","Hypereutrophic",NA,"Moderately Alkaline","0000_Orihel","1997_Richmond","","","","","","nonmarine sedimentary rocks","sedimentary rocks",6,NA,1.46977506743442,28.2156712872012,"Central station (Site ""C""); station C-extra","0000_Orihel","Orihel/O'Connell; SITE_SOL_P and SITE_SOL_Fe sampled 19-Aug-11, two years before porewater data collected"
"F0015","WAB","WABW","MASS BALANCE","Lnet","SUMMER","","09/15/80 00:00:00",NA,NA,NA,"INSITU(OXIC)","INSITU",NA,"1984_Mitchell","mass balance based on water samples, depositions, and sediment cores",0,"","TP.VALUE_mg_m2_d",1.4,"Wabamun Lake","AB",53.5461,-114.5895,725,81.8,11,"Natural Lake","Mesotrophic",NA,"Moderately Alkaline","1984_Mitchell","","","","","","","nonmarine sedimentary rocks","sedimentary rocks",NA,NA,NA,NA,"three locations combined","1984_Mitchell","p129: ""each half of the lake and Moonlight Bay"""
"F0016","WAB","WABW","MASS BALANCE","Lnet","SUMMER","","06/15/81 00:00:00",NA,NA,NA,"INSITU(OXIC)","INSITU",NA,"1984_Mitchell","mass balance based on water samples, depositions, and sediment cores",0,"","TP.VALUE_mg_m2_d",5,"Wabamun Lake","AB",53.5461,-114.5895,725,81.8,11,"Natural Lake","Mesotrophic",NA,"Moderately Alkaline","1984_Mitchell","","","","","","","nonmarine sedimentary rocks","sedimentary rocks",NA,NA,NA,NA,"three locations combined","1984_Mitchell","p129: ""each half of the lake and Moonlight Bay"""
"F0017","WAB","WABW","MASS BALANCE","Lnet","SUMMER","","09/15/81 00:00:00",NA,NA,NA,"INSITU(OXIC)","INSITU",NA,"1984_Mitchell","mass balance based on water samples, depositions, and sediment cores",0,"","TP.VALUE_mg_m2_d",2.4,"Wabamun Lake","AB",53.5461,-114.5895,725,81.8,11,"Natural Lake","Mesotrophic",NA,"Moderately Alkaline","1984_Mitchell","","","","","","","nonmarine sedimentary rocks","sedimentary rocks",NA,NA,NA,NA,"three locations combined","1984_Mitchell","p129: ""each half of the lake and Moonlight Bay"""
"F0018","HFM","HFMX","MASS BALANCE","Lnet","SUMMER","","05/27/82 00:00:00",29,10,NA,"INSITU(ANOXIC)","INSITU",NA,"1984_Riley","mass balance calculation description on p848",0,"","TP.VALUE_mg_m2_d",13.2,"Halfmoon Lake","AB",53.4322,-113.0948,741,0.41,8.5,"Natural Lake","Hypereutrophic",60,"Moderately Alkaline","1994_Babin","2001_Prepas","1984_Riley","2001_Reedyk","","","Additional info in 1994_Babin; WLE: lime added Jul-1988, Aug-1989, May-1991, May-1993","nonmarine sedimentary rocks","sedimentary rocks",8.5,NA,NA,NA,"whole lake; for mass balance","1984_Riley",""
