"LINE.ID","P.ID","SITE.ID","LAKE.ID","EXTRACTION.METHOD","SEASON","COLLECTION.DATE","START.DEPTH","END.DEPTH","PORE.P.VALUE","PORE.P.UNITS","PORE.P.TYPE","AVG","REF.ID","INITIALS","COMMENT","FLAG","FLAG.COMMENT"
1479,"P0108","ERIC","ERI","PEEPERS","SUMMER","06/01/94 00:00:00",6.808,NA,0.861,"mg/L","SRP","","1996_Azcue","DO","Fig 3; Central Basin of Lake Erie",0,""
1480,"P0108","ERIC","ERI","PEEPERS","SUMMER","06/01/94 00:00:00",7.758,NA,0.877,"mg/L","SRP","","1996_Azcue","DO","Fig 3; Central Basin of Lake Erie",0,""
1481,"P0108","ERIC","ERI","PEEPERS","SUMMER","06/01/94 00:00:00",9.539,NA,1.399,"mg/L","SRP","","1996_Azcue","DO","Fig 3; Central Basin of Lake Erie",0,""
1482,"P0108","ERIC","ERI","PEEPERS","SUMMER","06/01/94 00:00:00",10.608,NA,1.579,"mg/L","SRP","","1996_Azcue","DO","Fig 3; Central Basin of Lake Erie",0,""
1483,"P0108","ERIC","ERI","PEEPERS","SUMMER","06/01/94 00:00:00",11.557,NA,1.682,"mg/L","SRP","","1996_Azcue","DO","Fig 3; Central Basin of Lake Erie",0,""
1484,"P0108","ERIC","ERI","PEEPERS","SUMMER","06/01/94 00:00:00",12.507,NA,1.78,"mg/L","SRP","","1996_Azcue","DO","Fig 3; Central Basin of Lake Erie",0,""
1485,"P0108","ERIC","ERI","PEEPERS","SUMMER","06/01/94 00:00:00",13.576,NA,1.802,"mg/L","SRP","","1996_Azcue","DO","Fig 3; Central Basin of Lake Erie",0,""
1486,"P0108","ERIC","ERI","PEEPERS","SUMMER","06/01/94 00:00:00",14.645,NA,1.837,"mg/L","SRP","","1996_Azcue","DO","Fig 3; Central Basin of Lake Erie",0,""
1487,"P0108","ERIC","ERI","PEEPERS","SUMMER","06/01/94 00:00:00",15.476,NA,1.742,"mg/L","SRP","","1996_Azcue","DO","Fig 3; Central Basin of Lake Erie",0,""
1488,"P0108","ERIC","ERI","PEEPERS","SUMMER","06/01/94 00:00:00",16.544,NA,1.636,"mg/L","SRP","","1996_Azcue","DO","Fig 3; Central Basin of Lake Erie",0,""
